Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1080534308,8384,45,,,,,,,,,,0.262,31266.963,Pageable,Device,NVIDIA H100 80GB HBM3 (0),1,,14,[CUDA memcpy Host-to-Device]
1080585604,1568,49,,,,,,,,,,0.573,365714.227,Device,,NVIDIA H100 80GB HBM3 (0),1,,14,[CUDA memset]
1081258981,7872,62,,,,,,,,,,0.262,33300.677,Pageable,Device,NVIDIA H100 80GB HBM3 (1),2,,23,[CUDA memcpy Host-to-Device]
1081284741,1472,72,,,,,,,,,,0.573,389564.744,Device,,NVIDIA H100 80GB HBM3 (1),2,,23,[CUDA memset]
1081297859,1792,83,,,,,,,,,,0.262,146285.527,Device,,NVIDIA H100 80GB HBM3 (0),1,,14,[CUDA memset]
1081302277,1504,86,,,,,,,,,,0.262,174297.711,Device,,NVIDIA H100 80GB HBM3 (1),2,,23,[CUDA memset]
1082206787,410527,98,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (0),1,,14,comm_allreduce__allreduce_1sta6A6A6A6A_31b54cd2485e63b4
1082325157,292544,108,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (1),2,,23,comm_allreduce__allreduce_1sta6A6A6A6A_15892c0df2ec6db0
1082618530,68224,112,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (0),1,,14,comm_allreduce__allreduce_1sta6A6A6A6A_31b54cd2485e63b4
1082618917,68160,115,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (1),2,,23,comm_allreduce__allreduce_1sta6A6A6A6A_15892c0df2ec6db0
1082687778,68576,119,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (0),1,,14,comm_allreduce__allreduce_1sta6A6A6A6A_31b54cd2485e63b4
1082688037,68704,122,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (1),2,,23,comm_allreduce__allreduce_1sta6A6A6A6A_15892c0df2ec6db0
1082757570,68032,126,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (0),1,,14,comm_allreduce__allreduce_1sta6A6A6A6A_31b54cd2485e63b4
1082757733,68032,129,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (1),2,,23,comm_allreduce__allreduce_1sta6A6A6A6A_15892c0df2ec6db0
1082826882,68000,133,1,1,1,256,1,1,32,0.000,0.000,,,,,NVIDIA H100 80GB HBM3 (0),1,,14,comm_allreduce__allreduce_1sta6A6A6A6A_31b54cd2485e63b4
